link,food,img,tag,material,cooking_time,scrap
https://haemukja.com/recipes/5911,콩나물국,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/67117/mid_thumb_________11.13.jpg&convert=jpgmin&rt=600,봄 국/탕요리 나물/무침 술안주 해장요리 실생활 요리 한식 요리 채소류 요리 콩/두부 요리 10분 요리 자취 초보 요리 간단 재료 요리 동영상 레시피 간편 메인반찬 위 튼튼 다이어트 요리 미백효과,콩나물 1봉지 대파 청양고추 맛소금 국간장 해물다시팩 다진마늘,10분,133
https://haemukja.com/recipes/5910,소고기 볶음 고추장,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/67074/mid_thumb_____________11.13.jpg&convert=jpgmin&rt=600,쇠고기 봄 쌀밥/잡곡밥 채소밥/비빔밥 볶음요리 간식/야식 술안주 손님 접대 요리 실생활 요리 한식 요리 양념/소스/잼 동영상 레시피 간편 메인반찬 다이어트 요리,다진 소고기 해물 다시팩 육수 고추장 다진 파 깨 진간장 다진 마늘 설탕 참기름 후추,30분,205
https://haemukja.com/recipes/5909,맛간장,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/67061/mid_thumb______11.13_.jpg&convert=jpgmin&rt=600,돼지고기 쇠고기 닭고기 생선 봄 간식/야식 술안주 한식 요리 채소류 요리 콩/두부 요리 달걀/유제품 요리 양념/소스/잼 5분 요리 자취 초보 요리,양파 청양고추 진간장 식초 설탕 물,5분,53
https://haemukja.com/recipes/5908,두부계란전,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/67047/mid_thumb__________11.3.jpg&convert=jpgmin&rt=600,전/부침요리 간식/야식 술안주 손님 접대 요리 파티/명절요리 실생활 요리 한식 요리 콩/두부 요리 달걀/유제품 요리 15분 요리 자취 초보 요리 간단 재료 요리 동영상 레시피 다이어트 요리,두부 계란 다진마늘 소금,15분,242
https://haemukja.com/recipes/5900,후추 오징어,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66963/mid_thumb________.jpeg&convert=jpgmin&rt=600,수산물 구이요리 간식/야식 술안주 동남아/인도 요리 자취 초보 요리 간단 재료 요리 혼밥 요리,오징어 후추 간장,20분,13
https://haemukja.com/recipes/5897,키스틱 식빵 핫도그,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66935/mid_thumb____1.png&convert=jpgmin&rt=600,돼지고기 햄/소시지 봄 튀김요리 빵/케이크 햄버거/핫도그 샌드위치 간식/야식 술안주 손님 접대 요리 나들이 요리 파티/명절요리 실생활 요리 한식 요리 멕시칸 요리 양식 요리 퓨전요리 이국적인맛 달걀/유제품 요리 가공식품 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리,식빵 키스틱크림치즈롤 계란 빵가루,15분,22
https://haemukja.com/recipes/5896,베이컨키스틱말이,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66925/mid_thumb____1.png&convert=jpgmin&rt=600,돼지고기 닭고기 햄/소시지 봄 김밥/롤/주먹밥/초밥 한식면 서양식면 구이요리 샌드위치 간식/야식 술안주 손님 접대 요리 나들이 요리 파티/명절요리 실생활 요리 한식 요리 일식 요리 멕시칸 요리 양식 요리 퓨전요리 이국적인맛 달걀/유제품 요리 가공식품 요리 5분 요리 10분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리,키스틱 체다치즈 베이컨 김밥 재료,10분,20
https://haemukja.com/recipes/5891,고구마 스틱 앤 튀김,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66883/mid_thumb____1.jpg&convert=jpgmin&rt=600,겨울 튀김요리 간식/야식 술안주 한식 요리 채소류 요리 10분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 다이어트 요리,고구마 두개 튀김가루 1봉 청양고추 2개 기름,10분,14
https://haemukja.com/recipes/5888,소시지 파프리카 볶음,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66867/mid_thumb________1.jpg&convert=jpgmin&rt=600,햄/소시지 볶음요리 술안주 실생활 요리 한식 요리 이국적인맛 5분 요리 자취 초보 요리 간단 재료 요리,비엔나소시지 케첩 파프리카 양파 소금,3분,21
https://haemukja.com/recipes/5885,규카츠,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66850/mid_thumb_KakaoTalk_20190401_002952465.jpg&convert=jpgmin&rt=600,쇠고기 봄 쌀밥/잡곡밥 튀김요리 술안주 손님 접대 요리 파티/명절요리 실생활 요리 일식 요리 달걀/유제품 요리 10분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리,소고기 채끝살 빵가루 밀가루 양배추 달걀,10분,85
https://haemukja.com/recipes/5884,"연어초밥, 연어장, 연어 샐러드",https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66849/mid_thumb_KakaoTalk_20190327_203641217.jpg&convert=jpgmin&rt=600,생선 수산물 봄 채소밥/비빔밥 김밥/롤/주먹밥/초밥 샐러드요리 젓갈/장아찌 간식/야식 술안주 손님 접대 요리 나들이 요리 파티/명절요리 실생활 요리 일식 요리 자취 초보 요리 혼밥 요리 동영상 레시피 위 튼튼 대장 튼튼 간 튼튼 다이어트 요리 피부 재생 미백효과 기미/주근깨 여드름 피부 빈혈 예방,연어 밥 양파 식초 설탕 소금 쯔유 물 미림 양상추,30분,91
https://haemukja.com/recipes/5876, 매운 제육볶음,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66730/mid_thumb_____2019-01-29-19-03-49.jpg&convert=jpgmin&rt=600,돼지고기 볶음요리 술안주 손님 접대 요리 실생활 요리 한식 요리,돼지앞다리 식용유 믹서기에 갈 재료) 양파 대파 사과 청양고추 마늘 맛술 진간장 (제육 양념장) 진간장 고추장 고춧가루 요리 당 카레가루 생강즙 참기름 후춧가루,30분,91
https://haemukja.com/recipes/5874,김치 전 만들기,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66705/mid_thumb_________2019-02-24-11-51-33.jpg&convert=jpgmin&rt=600,전/부침요리 김치요리 간식/야식 술안주 실생활 요리 한식 요리 채소류 요리 자취 초보 요리 간단 재료 요리,배추김치 달걀 대파 청양고추 고춧가루 부침가루 밀가루 차가운 물 식용유,20분분,66
https://haemukja.com/recipes/5868,진짜 맛있는데 간단햄 부대찌개,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/direction/image_file/66669/mid_thumb______1.png&convert=jpgmin&rt=600,돼지고기 햄/소시지 봄 쌀밥/잡곡밥 한식면 국/탕요리 찌개요리 김치요리 술안주 해장요리 실생활 요리 한식 요리 채소류 요리 콩/두부 요리 10분 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리,의성마늘 로스팜 의성마늘 비엔나 콩나물 김치 떡사리 당면사리 라면사리 고추장 등 양념장 각종 야채 대망의 라면스프,15분,148
